experiment_version,model_name,run,component,tp,fp,tn,fn,precision,recall,f1_score,f2_score,accuracy_score
CI-RFS,gemini-3-flash-preview,Voting,NEED,53,221,2003,3,0.1934306569,0.9464285714,0.3212121212,0.5321285141,0.901754386
CI-RFS,gemini-3-flash-preview,Voting,ALTERNATIVES,6,58,2212,4,0.09375,0.6,0.1621621622,0.2884615385,0.9728070175
CI-RFS-G3F,o4-mini,Voting,Total,156,122,6542,20,56.12%,88.64%,68.72%,79.43%,97.92%
CI-RFS,gemini-3-flash-preview,Average,Total,167,431.6666667,6232.333333,9,0.279702045,0.9488636364,0.4318694041,0.6417824566,0.9355750487
CI-RFS-G5.2,o4-mini,0,GOAL,98,30,2140,12,0.765625,0.8909090909,0.8235294118,0.8626760563,0.9815789474
CI-RFS-G5.2,o4-mini,0,NEED,42,65,2159,14,0.3925233645,0.75,0.5153374233,0.6344410876,0.9653508772
CI-RFS-G5.2,o4-mini,0,ALTERNATIVES,6,36,2234,4,0.1428571429,0.6,0.2307692308,0.3658536585,0.9824561404
CI-RFS-G5.2,o4-mini,0,Total,146,131,6533,30,0.5270758123,0.8295454545,0.6445916115,0.744138634,0.9764619883
CI-RFS-G5.2,o4-mini,1,GOAL,99,19,2151,11,0.8389830508,0.9,0.8684210526,0.8870967742,0.9868421053
CI-RFS-G5.2,o4-mini,1,NEED,47,64,2160,9,0.4234234234,0.8392857143,0.5628742515,0.7014925373,0.9679824561
CI-RFS-G5.2,o4-mini,1,ALTERNATIVES,7,20,2250,3,0.2592592593,0.7,0.3783783784,0.5223880597,0.9899122807
CI-RFS-G5.2,o4-mini,1,Total,153,103,6561,23,0.59765625,0.8693181818,0.7083333333,0.796875,0.9815789474
CI-RFS-G5.2,o4-mini,2,GOAL,96,19,2151,14,0.8347826087,0.8727272727,0.8533333333,0.8648648649,0.9855263158
CI-RFS-G5.2,o4-mini,2,NEED,45,65,2159,11,0.4090909091,0.8035714286,0.5421686747,0.6736526946,0.9666666667
CI-RFS-G5.2,o4-mini,2,ALTERNATIVES,7,22,2248,3,0.2413793103,0.7,0.358974359,0.5072463768,0.9890350877
CI-RFS-G5.2,o4-mini,2,Total,148,106,6558,28,0.5826771654,0.8409090909,0.688372093,0.7724425887,0.9804093567
CI-RFS-G5.2,o4-mini,Voting,GOAL,99,19,2151,11,0.8389830508,0.9,0.8684210526,0.8870967742,0.9868421053
CI-RFS-G5.2,o4-mini,Voting,NEED,46,64,2160,10,0.4181818182,0.8214285714,0.5542168675,0.6886227545,0.9675438596
CI-RFS-G5.2,o4-mini,Voting,ALTERNATIVES,7,21,2249,3,0.25,0.7,0.3684210526,0.5147058824,0.9894736842
CI-RFS-G5.2,o4-mini,Voting,Total,152,104,6560,24,59.38%,86.36%,70.37%,79.17%,98.13%
CI-RFS-G5.2,o4-mini,Average,Total,149,113.3333333,6550.666667,27,0.5691364092,0.8465909091,0.6804323459,0.7713811148,0.9794834308
CI-RFS-G5.2,gpt-5.2,0,GOAL,106,41,2129,4,0.7210884354,0.9636363636,0.8249027237,0.9028960818,0.9802631579
CI-RFS-G5.2,gpt-5.2,0,NEED,49,76,2148,7,0.392,0.875,0.5414364641,0.7020057307,0.9635964912
CI-RFS-G5.2,gpt-5.2,0,ALTERNATIVES,5,15,2255,5,0.25,0.5,0.3333333333,0.4166666667,0.9912280702
CI-RFS-G5.2,gpt-5.2,0,Total,160,132,6532,16,0.5479452055,0.9090909091,0.6837606838,0.8032128514,0.9783625731
CI-RFS-G5.2,gpt-5.2,1,GOAL,106,59,2111,4,0.6424242424,0.9636363636,0.7709090909,0.8760330579,0.9723684211
CI-RFS-G5.2,gpt-5.2,1,NEED,49,87,2137,7,0.3602941176,0.875,0.5104166667,0.6805555556,0.9587719298
CI-RFS-G5.2,gpt-5.2,1,ALTERNATIVES,5,15,2255,5,0.25,0.5,0.3333333333,0.4166666667,0.9912280702
